activation_function,learning_rate,epochs,accuracy
step_func,0.01,100,0.7012987012987013
step_func,0.01,500,0.7792207792207793
step_func,0.01,1000,0.7467532467532467
sig,0.01,100,0.7012987012987013
sig,0.01,500,0.7142857142857143
sig,0.01,1000,0.7012987012987013
relu,0.01,100,0.7207792207792207
relu,0.01,500,0.7077922077922078
relu,0.01,1000,0.7012987012987013
step_func,0.1,100,0.7792207792207793
step_func,0.1,500,0.6948051948051948
step_func,0.1,1000,0.6948051948051948
sig,0.1,100,0.7012987012987013
sig,0.1,500,0.7272727272727273
sig,0.1,1000,0.7662337662337663
relu,0.1,100,0.7597402597402597
relu,0.1,500,0.7077922077922078
relu,0.1,1000,0.7792207792207793
